feature,mean_coef,std_coef,frac_nonzero
pe_T2W10,1.223332878750734,0.8281588537582247,1.0
l2_T2W10,0.7320413454502831,0.5767502929071643,1.0
nodes_T2W10,-0.4622200676937949,0.615837383312909,1.0
l1_T2W10,-0.45094912206750926,0.48490336532627165,1.0
l3_T2W10,-0.3728050920257119,0.5173853658949372,1.0
atd_T2W10,0.2905055325002256,1.9251302632937626,1.0
lcc_T2W10,0.26056151356951496,0.3031199157786128,1.0
diameter_T2W10,0.23101665298844026,0.34499576868303083,1.0
lsc_T2W10,0.07567973290103158,0.21912822043011962,1.0
edges_T2W10,0.07125654711457041,0.47780931932451504,1.0
density_T2W10,0.07093756500879879,0.5693340726271109,1.0
re_T2W10,0.06187837915451563,0.832962188768457,1.0
asp_T2W10,0.03359609419567674,0.5427855387312738,1.0
